filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_coun,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
43_15.mp4 ,Мед ПОТАПЫЧ Натуральный липовый пл. банка с дозатором (Россия) 500г,"415,79","316,99",нет,4603552017456,-23%,370204501518,04.01.2026 2:00,13_043015,нет,red,К,2472,"3194,5","1722,9","3297,9",1924,4603552017456,415.79,394.99,нет,316.99,нет,нет,нет,нет,нет,нет
43_15.mp4 ,Мед ЧАСТНАЯ ПАСЕКА с ореховым ассорти стекло (Россия) 225г,"384,29","294,99",нет,4607030000770,-23%,370204458173,,13_043015,нет,red,К,2472,"3267,7","1356,6","3353,8","1569,4",4607030000770,384.29,364.99,нет,294.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед- суфле PERONI Фисташка (Россия) 350г,"352,69","299,99",нет,4627093813599,-14%,370204496412,03.04.2026 2:47,13_043015,нет,red,Ш,2472,"3328,2","848,5","3387,5","1053,2",4627093813599,352.69,334.99,нет,299.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед- суфле PERONI Цветочный с сушеной малиной (Россия) 350г,"384,29","326,69",нет,4627093818105,-14%,370204744063,08.04.2026 2:01,13_043015,нет,red,Ш,2472,"3288,6","347,4","3382,8","553,2",4627093818105,384.29,364.99,нет,326.69,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед БЕРЕСТОВ А.С. Майский избранное ст/б (Россия) 500г,"652,69","514,99",нет,4607072770907,-21%,370204184922,26.03.2026 0:54,13_043015,нет,red,К,2472,"2213,4","1959,8","2400,1","2123,1",4607072770907,652.69,619.99,нет,514.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед БЕРЕСТОВ А. C. Натуральный горный (Россия) 500г,"599,99","469,99",нет,4607072770914,-21%,370204138706,16.03.2026 15:58,13_043015,нет,red,К,2472,"2249,7","1366,4","2449,7","1590,5",4607072770914,599.99,569.99,нет,469.99,нет,нет,нет,нет,нет,нет
43_15.mp4,"Мед БЕРЕСТОВ А.С. Избранное липовый Башкирская натуральный цвет ст/б (Россия), 500г","973,69","679,99",нет,4607072772314,-30%,370204200260,07.04.2026 1:25,13_043015,нет,red,К,2472,"2271,9","486,9","2479,3","718,3",4607072772314,973.69,924.99,нет,679.99,нет,нет,нет,нет,нет,нет
43_15.mp4,"Мед PREMIUM CLUB с орехами ст. (Россия), 225г","305,29","244,99",нет,4606068709914,-19%,370204709182,04.12.2025 0:43,13_043015,нет,red,Ш,2472,"2279,3","18,4","2453,4",211,4606068709914,305.29,289.99,нет,244.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед МАСТЕР МЕДА Разноцветье натуральный ст/б (Россия) 330r,"221,09","178,99",нет,4607955860022,-19%,370204569877,03.01.2026 1:29,13_043015,нет,red,К,2472,"1140,8","1778,6","1348,3","1957,9",4607955860022,221.09,209.99,нет,178.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед ЧАСТНАЯ ПАСЕКА с кедровым орехом стекло (Россия) 225г,"945,26","799,99",нет,4607030000794,-15%,370204390598,03.04.2026 2:47,13_043015,нет,red,Ш,2472,"1118,7","1518,3","1313,9","1724,6",4607030000794,945.26,897.99,нет,799.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед ЧАСТНАЯ ПАСЕКА Фитнес ст/б (Россия) 230г,"359,99","319,99",нет,4630042269644,-11%,370204747048,08.04.2026 2:01,13_043015,2 по цене 1 от цены без карты,red,Ш,2472,"1101,5","1049,2",1298,"1481,4",4630042269644,359.99,341.99,нет,319.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мёд ЧАСТНАЯ ПАСЕКА Горный (Россия) 500г,"368,42","305,99",нет,4607030000916,-16%,370204745622,28.01.2026 9:44,13_043015,нет,red,Ш,2472,"1097,8","802,4","1290,6","1012,3",4607030000916,368.42,349.99,нет,305.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед ЧАСТНАЯ ПАСЕКА Таежный (Россия) 500r,"368,42","234,99",нет,4607030000909,-36%,370204943953,04.01.2026 2:03,13_043015,нет,red,Ш,2472,"1121,1","173,6","1317,6","387,3",4607030000909,368.42,349.99,нет,234.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед ЛЕСНЫЕ угодья Натуральный разнотравье (Россия) 700r,"368,42","305,99",нет,4603552015186,-16%,370204744501,04.01.2026 2:03,13_043015,нет,red,К,2472,"297,9","997,5","430,9","1185,6",4603552015186,368.42,349.99,нет,305.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед Натуральный ЛЕСНЫЕ угодья Разнотравье с гречихой (Россия) 700r,"368,42","305,99",нет,4603552015193,-16%,370204512418,04.01.2026 2:03,13_043015,нет,red,Ш,2472,"303,6","587,1",429,"773,3",4603552015193,368.49,349.99,нет,305.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед РАЗНОТРАВЬЕ Натуральный (Россия) 500г,"199,89","149,99",нет,4607004989186,-24%,370204387905,21.11.2025 12:39,13_043015,нет,red,К,2472,"332,1","174,8","487,9","353,4",4607004989186,199.89,189.89,нет,149.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед PREMIUM CLUB с миндалем (Россия) 260г,"305,29","244,99",нет,4606068893262,-19%,370204865904,10.03.2026 2:15,ЧБК 001_1_5_2,нет,red,Ш,6822,"3161,5","1466,6","3278,4",1651,4606068893262,305.29,289.99,нет,244.99,нет,нет,нет,нет,нет,нет
43_15.mp4,Мед PREMIUM CLUB с кедровым орехом (Россия) 260r,"405,29","299,99",нет,4606068893255,-25%,370204866218,10.03.2026 2:15,ЧБК 002_1_6_2,нет,red,Ш,6822,"3219,4","1067,7","3324,5","1258,5",4606068893255,405.29,384.99,нет,299.99,нет,нет,нет,нет,нет,нет
