filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,warped_image,raw_text,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
43_15.mp4,Мед БЕРЕСТОВ С. Натуралнеи рорныи (Poccn) 500r,"599,99",,"469,99",,-21%,,,,,red,,2005,2231,1247,2487,1528,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_0.png,"Мед БЕРЕСТОВ С. Натуралнеи рорныи (Poccn) 500r 599"" -21% 469 99",,,,,,,,,,,
43_15.mp4,AЛOE Y1а0-,,,"305,99",,,,,,,red,,2005,251,894,450,1129,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_1.png,AЛOE Y1а0- 305 99,,,,,,,,,,,
43_15.mp4,Мёд ЧАСТНАЯ ПАСЕКА ГОРНй (Pоссин) 500r,"368,99",,"305,99",,-16%,,,,,red,,2005,1077,690,1308,940,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_2.png,Мёд ЧАСТНАЯ ПАСЕКА ГОРНй (Pоссин) 500r 368 -16% 305 99 m 607030000016,,,,,,,,,,,
43_15.mp4,Men MACTEP МЕПΑ нту (PoccMa)130r,,,"178,99",,-19%,,,,,red,,2005,1118,1674,1344,1911,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_3.png,Men MACTEP МЕПΑ нту (PoccMa)130r 178 99 -19%,,,,,,,,,,,
43_15.mp4,MaGEPECTOOA Избранное липоший Еацаиркан нтуральиый цвет CT16(PoCCя)500r,"973,99",,"679,99",,-30%,,,,,red,,2005,2266,363,2517,645,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_4.png,MaGEPECTOOA Избранное липоший Еацаиркан нтуральиый цвет CT16(PoCCя)500r 973 30% 679 99 14,,,,,,,,,,,
43_15.mp4,Меа ЧАСПАЯ ПАСЕКАС кедрюпьм орехом стекло (Россия),"945,99",,"799,99",,-15%,,,,,red,,2005,1098,1414,1318,1656,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_5.png,Меа ЧАСПАЯ ПАСЕКАС кедрюпьм орехом стекло (Россия) 945 -15% 799 99 ,,,,,,,,,,,
43_15.mp4,Мед ЧАСТНАЯ ПАСЕКА Фитнес Cт/ 6 (Россия) 230 359,,,,,-11%,,,,,red,,2005,1074,942,1305,1419,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2005_6.png,Мед ЧАСТНАЯ ПАСЕКА Фитнес Cт/ 6 (Россия) 230 359 2по-цене 1 319 99 от цены без -11% карты ,,,,,,,,,,,
43_15.mp4,1 GEPECTB АС E 42d2e.e Pa,,,"514,99",,,,,,,red,,2306,2203,1890,2431,2114,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2306_0.png,1 GEPECTB АС E 42d2e.e Pa 514,,,,,,,,,,,
43_15.mp4,,,,"305,99",,,,,,,red,,2356,272,530,469,763,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_2356_0.png,305,,,,,,,,,,,
43_15.mp4,,,,"169,99",,,,,,,red,,4963,293,635,455,856,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_4963_0.png,169,,,,,,,,,,,
43_15.mp4,,,,-319,,,,,,,red,,4963,1119,1891,1322,2160,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_4963_1.png,319,,,,,,,,,,,
43_15.mp4,,,,,,,,,,,red,,6016,309,1310,506,1527,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_6016_0.png,,,,,,,,,,,,
43_15.mp4,Meд PREMIUM CLUB сорехоц ассортя (Россы) 260r,,,"299,99",,-19%,,,,,red,,13937,2208,1360,2435,1607,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_13937_0.png,Meд PREMIUM CLUB сорехоц ассортя (Россы) 260r -19% 299 99 2т ,,,,,,,,,,,
43_15.mp4,Мед ЧАСТНАЯ ПАCEKА Тэсжныв (POCCMs)500r,,,"234,99",,-36%,,,,,red,,14940,1125,1936,1326,2144,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_14940_0.png,Мед ЧАСТНАЯ ПАCEKА Тэсжныв (POCCMs)500r 36% 234 99,,,,,,,,,,,
43_15.mp4,Meg PREMIUM CLUB с opexau ст. (Россия) 225г,"305,99",,"244,99",,-19%,,,,,red,,14940,2171,1852,2402,2071,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_14940_1.png,Meg PREMIUM CLUB с opexau ст. (Россия) 225г 305 -19% 244,,,,,,,,,,,
43_15.mp4,Кepa anoed (Poccs) Sor,,,"377,99",,-14%,,,,,red,,14940,1084,1602,1304,1839,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_14940_2.png,Кepa anoed (Poccs) Sor -14% 377 99 шшиши,,,,,,,,,,,
43_15.mp4,Набор мед-суфле PERONИМДОЯ серии Фсстииал. (Poccm)90r,,,"336,99",,-13%,,,,,red,,14940,1078,1087,1306,1337,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_14940_3.png,Набор мед-суфле PERONИМДОЯ серии Фсстииал. (Poccm)90r -13% 336 99 E,,,,,,,,,,,
43_15.mp4,,,,"199,99",,-29%,,,,,red,,14940,307,912,481,1137,/Users/a1234/PycharmProjects/lenta_cv/web_results/5dea5bcb63e1/debug_output/warped_tags/warped_14940_4.png,29 199  ,,,,,,,,,,,
